primary_type,location_description,count
CRIMINAL DAMAGE,HOTEL/MOTEL,227
CRIMINAL DAMAGE,RESIDENCE - PORCH/HALLWAY,207
CRIMINAL DAMAGE,DEPARTMENT STORE,172
CRIMINAL DAMAGE,BAR OR TAVERN,170
CRIMINAL DAMAGE,HOSPITAL BUILDING/GROUNDS,157
CRIMINAL DAMAGE,SCHOOL - PUBLIC GROUNDS,153
CRIMINAL DAMAGE,CTA STATION,148
CRIMINAL DAMAGE,POLICE FACILITY/VEH PARKING LOT,142
CRIMINAL DAMAGE,BANK,140
CRIMINAL DAMAGE,CHA PARKING LOT/GROUNDS,125
CRIMINAL DAMAGE,GOVERNMENT BUILDING/PROPERTY,111
CRIMINAL DAMAGE,CTA BUS STOP,110
CRIMINAL DAMAGE,BARBERSHOP,109
CRIMINAL DAMAGE,MEDICAL/DENTAL OFFICE,99
CRIMINAL DAMAGE,CONSTRUCTION SITE,98
CRIMINAL DAMAGE,SCHOOL - PRIVATE BUILDING,98
CRIMINAL DAMAGE,TAVERN/LIQUOR STORE,92
CRIMINAL DAMAGE,CURRENCY EXCHANGE,82
CRIMINAL DAMAGE,DRUG STORE,75
CRIMINAL DAMAGE,CTA PLATFORM,74
CRIMINAL DAMAGE,CTA PARKING LOT/GARAGE/OTHER PROPERTY,73
CRIMINAL DAMAGE,WAREHOUSE,69
CRIMINAL DAMAGE,DAY CARE CENTER,65
CRIMINAL DAMAGE,ABANDONED BUILDING,63
CRIMINAL DAMAGE,POLICE FACILITY/VEHICLE PARKING LOT,59
CRIMINAL DAMAGE,SPORTS ARENA/STADIUM,59
CRIMINAL DAMAGE,NURSING HOME/RETIREMENT HOME,52
CRIMINAL DAMAGE,AUTO/BOAT/RV DEALERSHIP,47
CRIMINAL DAMAGE,AIRPORT PARKING LOT,43
CRIMINAL DAMAGE,SCHOOL - PRIVATE GROUNDS,42
CRIMINAL DAMAGE,LIBRARY,41
CRIMINAL DAMAGE,VEHICLE-COMMERCIAL,40
CRIMINAL DAMAGE,CAR WASH,38
CRIMINAL DAMAGE,OTHER RAILROAD PROP/TRAIN DEPOT,36
CRIMINAL DAMAGE,ATHLETIC CLUB,35
CRIMINAL DAMAGE,CLEANING STORE,33
CRIMINAL DAMAGE,APPLIANCE STORE,30
CRIMINAL DAMAGE,FACTORY/MANUFACTURING BUILDING,28
CRIMINAL DAMAGE,OTHER RAILROAD PROPERTY/TRAIN DEPOT,28
CRIMINAL DAMAGE,AIRPORT EXTERIOR - NON-SECURE AREA,27
CRIMINAL DAMAGE,ANIMAL HOSPITAL,25
CRIMINAL DAMAGE,HIGHWAY/EXPRESSWAY,22
CRIMINAL DAMAGE,COLLEGE/UNIVERSITY GROUNDS,21
CRIMINAL DAMAGE,FIRE STATION,21
CRIMINAL DAMAGE,ATM (AUTOMATIC TELLER MACHINE),20
CRIMINAL DAMAGE,JAIL/LOCK-UP FACILITY,20
CRIMINAL DAMAGE,TAXICAB,18
CRIMINAL DAMAGE,MOVIE HOUSE/THEATER,17
CRIMINAL DAMAGE,POOL ROOM,15
CRIMINAL DAMAGE,CHA HALLWAY/STAIRWELL/ELEVATOR,14
CRIMINAL DAMAGE,PAWN SHOP,14
CRIMINAL DAMAGE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",14
CRIMINAL DAMAGE,CTA TRACKS - RIGHT OF WAY,13
CRIMINAL DAMAGE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,12
CRIMINAL DAMAGE,NURSING/RETIREMENT HOME,12
CRIMINAL DAMAGE,VEHICLE - COMMERCIAL,12
CRIMINAL DAMAGE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,11
CRIMINAL DAMAGE,OTHER COMMERCIAL TRANSPORTATION,11
CRIMINAL DAMAGE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,10
CRIMINAL DAMAGE,COIN OPERATED MACHINE,10
CRIMINAL DAMAGE,AIRPORT EXTERIOR - SECURE AREA,9
CRIMINAL DAMAGE,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,9
CRIMINAL DAMAGE,BOAT/WATERCRAFT,9
CRIMINAL DAMAGE,BRIDGE,8
CRIMINAL DAMAGE,CEMETARY,8
CRIMINAL DAMAGE,CREDIT UNION,6
CRIMINAL DAMAGE,SAVINGS AND LOAN,6
CRIMINAL DAMAGE,COLLEGE/UNIVERSITY - GROUNDS,5
CRIMINAL DAMAGE,FEDERAL BUILDING,5
CRIMINAL DAMAGE,VEHICLE - DELIVERY TRUCK,5
CRIMINAL DAMAGE,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",5
CRIMINAL DAMAGE,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,4
CRIMINAL DAMAGE,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,4
CRIMINAL DAMAGE,COLLEGE/UNIVERSITY - RESIDENCE HALL,4
CRIMINAL DAMAGE,LAKEFRONT/WATERFRONT/RIVERBANK,4
CRIMINAL DAMAGE,BOWLING ALLEY,3
CRIMINAL DAMAGE,FARM,3
CRIMINAL DAMAGE,FOREST PRESERVE,3
CRIMINAL DAMAGE,KENNEL,3
CRIMINAL DAMAGE,NEWSSTAND,3
CRIMINAL DAMAGE,AIRPORT VENDING ESTABLISHMENT,2
CRIMINAL DAMAGE,COLLEGE/UNIVERSITY RESIDENCE HALL,2
CRIMINAL DAMAGE,VEHICLE-COMMERCIAL - TROLLEY BUS,1
CRIMINAL SEXUAL ASSAULT,APARTMENT,1326
CRIMINAL SEXUAL ASSAULT,RESIDENCE,1215
CRIMINAL SEXUAL ASSAULT,ALLEY,234
CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS,213
CRIMINAL SEXUAL ASSAULT,HOTEL/MOTEL,186
CRIMINAL SEXUAL ASSAULT,STREET,177
CRIMINAL SEXUAL ASSAULT,OTHER,142
CRIMINAL SEXUAL ASSAULT,VEHICLE NON-COMMERCIAL,133
CRIMINAL SEXUAL ASSAULT,SIDEWALK,94
CRIMINAL SEXUAL ASSAULT,OTHER (SPECIFY),92
CRIMINAL SEXUAL ASSAULT,PARK PROPERTY,62
CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC BUILDING,49
CRIMINAL SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME,48
CRIMINAL SEXUAL ASSAULT,NURSING/RETIREMENT HOME,38
CRIMINAL SEXUAL ASSAULT,BAR OR TAVERN,36
CRIMINAL SEXUAL ASSAULT,ABANDONED BUILDING,29
CRIMINAL SEXUAL ASSAULT,RESIDENCE PORCH/HALLWAY,26
CRIMINAL SEXUAL ASSAULT,RESIDENCE - GARAGE,25
CRIMINAL SEXUAL ASSAULT,PARKING LOT/GARAGE(NON.RESID.),21
CRIMINAL SEXUAL ASSAULT,RESIDENTIAL YARD (FRONT/BACK),21
CRIMINAL SEXUAL ASSAULT,PARKING LOT/GARAGE (NON RESIDENTIAL),18
CRIMINAL SEXUAL ASSAULT,SCHOOL - PRIVATE BUILDING,18
CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC GROUNDS,18
CRIMINAL SEXUAL ASSAULT,RESIDENCE - YARD (FRONT/BACK),16
CRIMINAL SEXUAL ASSAULT,VACANT LOT/LAND,16
CRIMINAL SEXUAL ASSAULT,CHA APARTMENT,14
CRIMINAL SEXUAL ASSAULT,RESIDENCE - PORCH/HALLWAY,14
CRIMINAL SEXUAL ASSAULT,DAY CARE CENTER,13
CRIMINAL SEXUAL ASSAULT,RESTAURANT,10
CRIMINAL SEXUAL ASSAULT,AUTO/BOAT/RV DEALERSHIP,8
CRIMINAL SEXUAL ASSAULT,MEDICAL/DENTAL OFFICE,8
CRIMINAL SEXUAL ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",8
CRIMINAL SEXUAL ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",7
CRIMINAL SEXUAL ASSAULT,COMMERCIAL/BUSINESS OFFICE,6
CRIMINAL SEXUAL ASSAULT,CTA BUS STOP,6
CRIMINAL SEXUAL ASSAULT,GAS STATION,6
CRIMINAL SEXUAL ASSAULT,POLICE FACILITY/VEH PARKING LOT,6
CRIMINAL SEXUAL ASSAULT,SCHOOL - PRIVATE GROUNDS,6
CRIMINAL SEXUAL ASSAULT,SMALL RETAIL STORE,6
CRIMINAL SEXUAL ASSAULT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,5
CRIMINAL SEXUAL ASSAULT,COLLEGE/UNIVERSITY - RESIDENCE HALL,5
CRIMINAL SEXUAL ASSAULT,COLLEGE/UNIVERSITY RESIDENCE HALL,5
CRIMINAL SEXUAL ASSAULT,CTA PLATFORM,5
CRIMINAL SEXUAL ASSAULT,CTA STATION,5
CRIMINAL SEXUAL ASSAULT,CTA TRAIN,5
CRIMINAL SEXUAL ASSAULT,BOAT/WATERCRAFT,4
CRIMINAL SEXUAL ASSAULT,OTHER RAILROAD PROPERTY/TRAIN DEPOT,4
CRIMINAL SEXUAL ASSAULT,TAXICAB,4
CRIMINAL SEXUAL ASSAULT,ATHLETIC CLUB,3
CRIMINAL SEXUAL ASSAULT,BARBERSHOP,3
CRIMINAL SEXUAL ASSAULT,COLLEGE/UNIVERSITY GROUNDS,3
CRIMINAL SEXUAL ASSAULT,GOVERNMENT BUILDING/PROPERTY,3
CRIMINAL SEXUAL ASSAULT,LAKEFRONT/WATERFRONT/RIVERBANK,3
CRIMINAL SEXUAL ASSAULT,TAVERN/LIQUOR STORE,3
CRIMINAL SEXUAL ASSAULT,VEHICLE - COMMERCIAL,3
CRIMINAL SEXUAL ASSAULT,FOREST PRESERVE,2
CRIMINAL SEXUAL ASSAULT,OTHER RAILROAD PROP/TRAIN DEPOT,2
CRIMINAL SEXUAL ASSAULT,VEHICLE-COMMERCIAL,2
CRIMINAL SEXUAL ASSAULT,WAREHOUSE,2
CRIMINAL SEXUAL ASSAULT,AIRPORT PARKING LOT,1
CRIMINAL SEXUAL ASSAULT,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,1
CRIMINAL SEXUAL ASSAULT,APPLIANCE STORE,1
CRIMINAL SEXUAL ASSAULT,BRIDGE,1
CRIMINAL SEXUAL ASSAULT,CAR WASH,1
CRIMINAL SEXUAL ASSAULT,CHA HALLWAY/STAIRWELL/ELEVATOR,1
CRIMINAL SEXUAL ASSAULT,CONSTRUCTION SITE,1
CRIMINAL SEXUAL ASSAULT,CONVENIENCE STORE,1
CRIMINAL SEXUAL ASSAULT,CTA BUS,1
CRIMINAL SEXUAL ASSAULT,CTA PARKING LOT/GARAGE/OTHER PROPERTY,1
CRIMINAL SEXUAL ASSAULT,DRIVEWAY - RESIDENTIAL,1
CRIMINAL SEXUAL ASSAULT,GROCERY FOOD STORE,1
CRIMINAL SEXUAL ASSAULT,JAIL/LOCK-UP FACILITY,1
CRIMINAL SEXUAL ASSAULT,LIBRARY,1
CRIMINAL SEXUAL ASSAULT,MOVIE HOUSE/THEATER,1
CRIMINAL SEXUAL ASSAULT,OTHER COMMERCIAL TRANSPORTATION,1
CRIMINAL SEXUAL ASSAULT,POLICE FACILITY/VEHICLE PARKING LOT,1
CRIMINAL SEXUAL ASSAULT,POOL ROOM,1
CRIMINAL SEXUAL ASSAULT,SPORTS ARENA/STADIUM,1
CRIMINAL TRESPASS,RESIDENCE,2457
CRIMINAL TRESPASS,APARTMENT,1973
CRIMINAL TRESPASS,STREET,1594
CRIMINAL TRESPASS,GAS STATION,1390
CRIMINAL TRESPASS,RESTAURANT,991
CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),695
CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK),664
CRIMINAL TRESPASS,OTHER,637
CRIMINAL TRESPASS,SMALL RETAIL STORE,611
CRIMINAL TRESPASS,GROCERY FOOD STORE,551
CRIMINAL TRESPASS,RESIDENCE PORCH/HALLWAY,450
CRIMINAL TRESPASS,CONVENIENCE STORE,412
CRIMINAL TRESPASS,CTA STATION,339
CRIMINAL TRESPASS,HOTEL/MOTEL,270
CRIMINAL TRESPASS,RESIDENCE - GARAGE,261
CRIMINAL TRESPASS,DEPARTMENT STORE,244
CRIMINAL TRESPASS,SIDEWALK,243
CRIMINAL TRESPASS,VEHICLE NON-COMMERCIAL,241
CRIMINAL TRESPASS,CHA PARKING LOT/GROUNDS,222
CRIMINAL TRESPASS,HOSPITAL BUILDING/GROUNDS,208
CRIMINAL TRESPASS,DRUG STORE,207
CRIMINAL TRESPASS,RESIDENCE - YARD (FRONT/BACK),183
CRIMINAL TRESPASS,COMMERCIAL/BUSINESS OFFICE,180
CRIMINAL TRESPASS,SCHOOL - PUBLIC BUILDING,170
CRIMINAL TRESPASS,POLICE FACILITY/VEH PARKING LOT,135
CRIMINAL TRESPASS,CHA APARTMENT,127
CRIMINAL TRESPASS,CTA PLATFORM,125
CRIMINAL TRESPASS,PARKING LOT/GARAGE (NON RESIDENTIAL),122
CRIMINAL TRESPASS,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,110
CRIMINAL TRESPASS,ALLEY,109
CRIMINAL TRESPASS,TAVERN/LIQUOR STORE,102
CRIMINAL TRESPASS,OTHER (SPECIFY),100
CRIMINAL TRESPASS,LIBRARY,87
CRIMINAL TRESPASS,GOVERNMENT BUILDING/PROPERTY,79
CRIMINAL TRESPASS,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,78
CRIMINAL TRESPASS,PARK PROPERTY,77
CRIMINAL TRESPASS,DRIVEWAY - RESIDENTIAL,75
CRIMINAL TRESPASS,RESIDENCE - PORCH/HALLWAY,75
CRIMINAL TRESPASS,ABANDONED BUILDING,73
CRIMINAL TRESPASS,BAR OR TAVERN,73
CRIMINAL TRESPASS,SCHOOL - PRIVATE BUILDING,71
CRIMINAL TRESPASS,CHA HALLWAY/STAIRWELL/ELEVATOR,70
CRIMINAL TRESPASS,SCHOOL - PUBLIC GROUNDS,69
CRIMINAL TRESPASS,CONSTRUCTION SITE,68
CRIMINAL TRESPASS,BANK,61
CRIMINAL TRESPASS,OTHER RAILROAD PROP/TRAIN DEPOT,58
CRIMINAL TRESPASS,CTA TRACKS - RIGHT OF WAY,55
CRIMINAL TRESPASS,SPORTS ARENA/STADIUM,52
CRIMINAL TRESPASS,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,49
CRIMINAL TRESPASS,NURSING HOME/RETIREMENT HOME,41
CRIMINAL TRESPASS,SCHOOL - PRIVATE GROUNDS,37
CRIMINAL TRESPASS,WAREHOUSE,32
CRIMINAL TRESPASS,CTA TRAIN,31
CRIMINAL TRESPASS,CURRENCY EXCHANGE,29
CRIMINAL TRESPASS,MEDICAL/DENTAL OFFICE,25
CRIMINAL TRESPASS,OTHER COMMERCIAL TRANSPORTATION,25
CRIMINAL TRESPASS,VACANT LOT/LAND,23
CRIMINAL TRESPASS,COLLEGE/UNIVERSITY GROUNDS,22
CRIMINAL TRESPASS,CTA BUS,22
CRIMINAL TRESPASS,AUTO/BOAT/RV DEALERSHIP,19
CRIMINAL TRESPASS,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,18
CRIMINAL TRESPASS,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,18
CRIMINAL TRESPASS,ATHLETIC CLUB,17
CRIMINAL TRESPASS,FACTORY/MANUFACTURING BUILDING,17
CRIMINAL TRESPASS,APPLIANCE STORE,16
CRIMINAL TRESPASS,POLICE FACILITY/VEHICLE PARKING LOT,16
CRIMINAL TRESPASS,MOVIE HOUSE/THEATER,13
CRIMINAL TRESPASS,AIRPORT EXTERIOR - SECURE AREA,12
CRIMINAL TRESPASS,CTA GARAGE/OTHER PROPERTY,12
CRIMINAL TRESPASS,OTHER RAILROAD PROPERTY/TRAIN DEPOT,12
CRIMINAL TRESPASS,BARBERSHOP,11
CRIMINAL TRESPASS,CLEANING STORE,11
CRIMINAL TRESPASS,AIRPORT EXTERIOR - NON-SECURE AREA,10
CRIMINAL TRESPASS,DAY CARE CENTER,10
CRIMINAL TRESPASS,FEDERAL BUILDING,10
CRIMINAL TRESPASS,CAR WASH,9
CRIMINAL TRESPASS,AIRPORT PARKING LOT,8
CRIMINAL TRESPASS,COLLEGE/UNIVERSITY RESIDENCE HALL,8
CRIMINAL TRESPASS,CTA PARKING LOT/GARAGE/OTHER PROPERTY,7
CRIMINAL TRESPASS,VEHICLE-COMMERCIAL,6
CRIMINAL TRESPASS,BOAT/WATERCRAFT,5
CRIMINAL TRESPASS,COIN OPERATED MACHINE,5
CRIMINAL TRESPASS,COLLEGE/UNIVERSITY - GROUNDS,4
CRIMINAL TRESPASS,CTA BUS STOP,4
CRIMINAL TRESPASS,HIGHWAY/EXPRESSWAY,4
CRIMINAL TRESPASS,AIRPORT VENDING ESTABLISHMENT,3
CRIMINAL TRESPASS,FIRE STATION,3
CRIMINAL TRESPASS,NURSING/RETIREMENT HOME,3
CRIMINAL TRESPASS,POOL ROOM,3
CRIMINAL TRESPASS,VEHICLE - DELIVERY TRUCK,3
CRIMINAL TRESPASS,BRIDGE,2
CRIMINAL TRESPASS,FOREST PRESERVE,2
CRIMINAL TRESPASS,LAKEFRONT/WATERFRONT/RIVERBANK,2
CRIMINAL TRESPASS,VEHICLE - COMMERCIAL,2
CRIMINAL TRESPASS,AIRCRAFT,1
CRIMINAL TRESPASS,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,1
CRIMINAL TRESPASS,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,1
CRIMINAL TRESPASS,AIRPORT/AIRCRAFT,1
CRIMINAL TRESPASS,ANIMAL HOSPITAL,1
CRIMINAL TRESPASS,ATM (AUTOMATIC TELLER MACHINE),1
CRIMINAL TRESPASS,BOWLING ALLEY,1
CRIMINAL TRESPASS,PAWN SHOP,1
CRIMINAL TRESPASS,SAVINGS AND LOAN,1
CRIMINAL TRESPASS,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1
DECEPTIVE PRACTICE,RESIDENCE,19135
DECEPTIVE PRACTICE,APARTMENT,7238
DECEPTIVE PRACTICE,OTHER,5053
DECEPTIVE PRACTICE,STREET,2372
DECEPTIVE PRACTICE,RESTAURANT,2180
DECEPTIVE PRACTICE,BANK,2050
DECEPTIVE PRACTICE,SMALL RETAIL STORE,1566
DECEPTIVE PRACTICE,DEPARTMENT STORE,1352
DECEPTIVE PRACTICE,OTHER (SPECIFY),1227
DECEPTIVE PRACTICE,COMMERCIAL/BUSINESS OFFICE,1013
DECEPTIVE PRACTICE,ATM (AUTOMATIC TELLER MACHINE),865
DECEPTIVE PRACTICE,SIDEWALK,727
DECEPTIVE PRACTICE,CURRENCY EXCHANGE,649
DECEPTIVE PRACTICE,GAS STATION,613
DECEPTIVE PRACTICE,CTA STATION,538
DECEPTIVE PRACTICE,GROCERY FOOD STORE,535
DECEPTIVE PRACTICE,BAR OR TAVERN,389
DECEPTIVE PRACTICE,HOTEL/MOTEL,363
DECEPTIVE PRACTICE,CONVENIENCE STORE,355
DECEPTIVE PRACTICE,PARKING LOT/GARAGE(NON.RESID.),345
DECEPTIVE PRACTICE,TAXICAB,331
DECEPTIVE PRACTICE,DRUG STORE,284
DECEPTIVE PRACTICE,CTA TRAIN,264
DECEPTIVE PRACTICE,CTA PLATFORM,207
DECEPTIVE PRACTICE,HOSPITAL BUILDING/GROUNDS,194
DECEPTIVE PRACTICE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,141
DECEPTIVE PRACTICE,PARKING LOT/GARAGE (NON RESIDENTIAL),133
DECEPTIVE PRACTICE,GOVERNMENT BUILDING/PROPERTY,112
DECEPTIVE PRACTICE,AUTO/BOAT/RV DEALERSHIP,93
DECEPTIVE PRACTICE,POLICE FACILITY/VEH PARKING LOT,93
DECEPTIVE PRACTICE,VEHICLE NON-COMMERCIAL,86
DECEPTIVE PRACTICE,TAVERN/LIQUOR STORE,85
DECEPTIVE PRACTICE,ALLEY,79
DECEPTIVE PRACTICE,MEDICAL/DENTAL OFFICE,77
DECEPTIVE PRACTICE,AIRPORT VENDING ESTABLISHMENT,75
DECEPTIVE PRACTICE,ATHLETIC CLUB,75
DECEPTIVE PRACTICE,NURSING HOME/RETIREMENT HOME,75
DECEPTIVE PRACTICE,SCHOOL - PUBLIC BUILDING,72
DECEPTIVE PRACTICE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,68
DECEPTIVE PRACTICE,SCHOOL - PRIVATE BUILDING,68
DECEPTIVE PRACTICE,PARK PROPERTY,67
DECEPTIVE PRACTICE,RESIDENCE PORCH/HALLWAY,65
DECEPTIVE PRACTICE,POLICE FACILITY/VEHICLE PARKING LOT,64
DECEPTIVE PRACTICE,AIRPORT EXTERIOR - NON-SECURE AREA,56
DECEPTIVE PRACTICE,OTHER COMMERCIAL TRANSPORTATION,55
DECEPTIVE PRACTICE,RESIDENTIAL YARD (FRONT/BACK),55
DECEPTIVE PRACTICE,CTA BUS,52
DECEPTIVE PRACTICE,VEHICLE-COMMERCIAL,51
DECEPTIVE PRACTICE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",46
DECEPTIVE PRACTICE,APPLIANCE STORE,45
DECEPTIVE PRACTICE,WAREHOUSE,43
DECEPTIVE PRACTICE,SPORTS ARENA/STADIUM,40
DECEPTIVE PRACTICE,AIRPORT PARKING LOT,35
DECEPTIVE PRACTICE,BARBERSHOP,34
DECEPTIVE PRACTICE,CREDIT UNION,34
DECEPTIVE PRACTICE,NURSING/RETIREMENT HOME,33
DECEPTIVE PRACTICE,MOVIE HOUSE/THEATER,30
DECEPTIVE PRACTICE,FACTORY/MANUFACTURING BUILDING,29
DECEPTIVE PRACTICE,CHA APARTMENT,28
DECEPTIVE PRACTICE,COLLEGE/UNIVERSITY GROUNDS,27
DECEPTIVE PRACTICE,CTA GARAGE/OTHER PROPERTY,27
DECEPTIVE PRACTICE,RESIDENCE - GARAGE,23
DECEPTIVE PRACTICE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,22
DECEPTIVE PRACTICE,OTHER RAILROAD PROP/TRAIN DEPOT,22
DECEPTIVE PRACTICE,CTA BUS STOP,21
DECEPTIVE PRACTICE,POOL ROOM,21
DECEPTIVE PRACTICE,RESIDENCE - PORCH/HALLWAY,21
DECEPTIVE PRACTICE,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,20
DECEPTIVE PRACTICE,CAR WASH,20
DECEPTIVE PRACTICE,RESIDENCE - YARD (FRONT/BACK),20
DECEPTIVE PRACTICE,COLLEGE/UNIVERSITY - GROUNDS,18
DECEPTIVE PRACTICE,DAY CARE CENTER,18
DECEPTIVE PRACTICE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,16
DECEPTIVE PRACTICE,SCHOOL - PUBLIC GROUNDS,16
DECEPTIVE PRACTICE,LIBRARY,15
DECEPTIVE PRACTICE,SAVINGS AND LOAN,14
DECEPTIVE PRACTICE,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,13
DECEPTIVE PRACTICE,SCHOOL - PRIVATE GROUNDS,12
DECEPTIVE PRACTICE,CONSTRUCTION SITE,10
DECEPTIVE PRACTICE,DRIVEWAY - RESIDENTIAL,10
DECEPTIVE PRACTICE,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,8
DECEPTIVE PRACTICE,BOWLING ALLEY,8
DECEPTIVE PRACTICE,CHA PARKING LOT/GROUNDS,8
DECEPTIVE PRACTICE,FEDERAL BUILDING,8
DECEPTIVE PRACTICE,PAWN SHOP,8
DECEPTIVE PRACTICE,VEHICLE - COMMERCIAL,8
DECEPTIVE PRACTICE,ABANDONED BUILDING,7
DECEPTIVE PRACTICE,ANIMAL HOSPITAL,7
DECEPTIVE PRACTICE,CLEANING STORE,7
